WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
SL205763037-MW-16,451,TDS,8/29/2018,MG/L,=,10,37.9297137,-121.3175706,MONITORING,,8,20,EDF,MW-16,MW-16
SL205763037-MW-16,506,TDS,3/4/2019,MG/L,=,10,37.9297137,-121.3175706,MONITORING,,8,20,EDF,MW-16,MW-16
L10008827999-ASW-2,52,TDS,8/23/2017,MG/L,=,6.7,37.8627096,-121.1811717,MONITORING,,,,EDF,ASW-2,ASW-2
L10008827999-ASW-2,71,TDS,8/27/2012,MG/L,=,6.7,37.8627096,-121.1811717,MONITORING,,,,EDF,ASW-2,ASW-2
L10008827999-ASW-2,80,TDS,2/2/2006,MG/L,=,10,37.8627096,-121.1811717,MONITORING,,,,EDF,ASW-2,ASW-2
L10008827999-ASW-2,120,TDS,3/31/2010,MG/L,=,6.7,37.8627096,-121.1811717,MONITORING,,,,EDF,ASW-2,ASW-2
T0607700379-MW-2,800,TDS,10/26/2018,MG/L,=,50,37.9500419,-121.264071,MONITORING,,,,EDF,MW-2,MW-2
L10008252269-MW-1A,5200,TDS,2/25/2005,MG/L,=,500,37.91401226,-121.2989723,MONITORING,,35.4,20,EDF,MW-1A,MW-1A
L10008827999-MW-16,440,TDS,11/18/2014,MG/L,=,20,37.8755207,-121.183332,MONITORING,,69,20,EDF,MW-16,MW-16
L10008827999-MW-16,460,TDS,11/15/2016,MG/L,=,33,37.8755207,-121.183332,MONITORING,,69,20,EDF,MW-16,MW-16
L10008827999-MW-16,900,TDS,2/12/2009,MG/L,=,50,37.8755207,-121.183332,MONITORING,,69,20,EDF,MW-16,MW-16
L10008827999-MW-16,950,TDS,11/14/2005,MG/L,=,50,37.8755207,-121.183332,MONITORING,,69,20,EDF,MW-16,MW-16
L10008827999-MW-16,1100,TDS,8/13/2008,MG/L,=,50,37.8755207,-121.183332,MONITORING,,69,20,EDF,MW-16,MW-16
L10008827999-MW-16,710,TDS,8/16/2011,MG/L,=,33,37.8755207,-121.183332,MONITORING,,69,20,EDF,MW-16,MW-16
L10008827999-MW-16,830,TDS,8/12/2009,MG/L,=,50,37.8755207,-121.183332,MONITORING,,69,20,EDF,MW-16,MW-16
L10008827999-MW-16,860,TDS,3/25/2010,MG/L,=,50,37.8755207,-121.183332,MONITORING,,69,20,EDF,MW-16,MW-16
L10008827999-MW-16,900,TDS,8/29/2006,MG/L,=,50,37.8755207,-121.183332,MONITORING,,69,20,EDF,MW-16,MW-16
L10008827999-MW-16,960,TDS,5/23/2006,MG/L,=,50,37.8755207,-121.183332,MONITORING,,69,20,EDF,MW-16,MW-16
T0607700906-MW-4,630,TDS,6/20/2011,MG/L,=,10000,38.0211027,-121.3567688,MONITORING,,,,EDF,MW-4,MW-4
T0607700019-SW1,544,TDS,6/29/2004,MG/L,=,20000,37.9865108,-121.3202415,MONITORING,,40,5,EDF,SW1,SW1
L10008365060-MW-13,170,TDS,4/22/2014,MG/L,=,10,38.30522553,-120.9116328,MONITORING,,33,9,EDF,MW-13,MW-13
L10008365060-MW-13,160,TDS,11/5/2013,MG/L,=,10,38.30522553,-120.9116328,MONITORING,,33,9,EDF,MW-13,MW-13
L10008365060-MW-13,180,TDS,5/16/2007,MG/L,=,10,38.30522553,-120.9116328,MONITORING,,33,9,EDF,MW-13,MW-13
L10008365060-MW-13,180,TDS,5/27/2010,MG/L,=,10,38.30522553,-120.9116328,MONITORING,,33,9,EDF,MW-13,MW-13
L10008365060-MW-13,180,TDS,11/29/2007,MG/L,=,10,38.30522553,-120.9116328,MONITORING,,33,9,EDF,MW-13,MW-13
L10008365060-MW-13,220,TDS,10/11/2005,MG/L,=,10,38.30522553,-120.9116328,MONITORING,,33,9,EDF,MW-13,MW-13
SLT5S2173256-TW-13,1420,TDS,12/12/2012,MG/L,=,10,37.7471425,-121.4164724,MONITORING,,3.76,20,EDF,TW-13,TW-13
SL185742938-M-161,260,TDS,1/12/2010,MG/L,=,50,37.64676894,-121.0163111,MONITORING,172,152,20,EDF,M-161,M-161
SL185742938-M-161,350,TDS,7/15/2016,MG/L,=,10,37.64676894,-121.0163111,MONITORING,172,152,20,EDF,M-161,M-161
SL185742938-M-161,370,TDS,1/23/2018,MG/L,=,10,37.64676894,-121.0163111,MONITORING,172,152,20,EDF,M-161,M-161
L10008252269-SW-1,84,TDS,8/30/2006,MG/L,=,6.7,37.91695659,-121.2919805,MONITORING,,,,EDF,SW-1,SW-1
L10008252269-MW-9B,1000,TDS,9/11/2012,MG/L,=,50,37.91535561,-121.2910801,MONITORING,,60,20,EDF,MW-9B,MW-9B
L10008252269-MW-9B,1100,TDS,3/2/2015,MG/L,=,50,37.91535561,-121.2910801,MONITORING,,60,20,EDF,MW-9B,MW-9B
L10008252269-MW-9B,1100,TDS,7/20/2018,MG/L,=,50,37.91535561,-121.2910801,MONITORING,,60,20,EDF,MW-9B,MW-9B
L10008252269-MW-9B,1000,TDS,3/29/2016,MG/L,=,50,37.91535561,-121.2910801,MONITORING,,60,20,EDF,MW-9B,MW-9B
L10008252269-MW-9B,1100,TDS,8/10/2017,MG/L,=,50,37.91535561,-121.2910801,MONITORING,,60,20,EDF,MW-9B,MW-9B
L10008252269-MW-9B,1100,TDS,5/24/2006,MG/L,=,50,37.91535561,-121.2910801,MONITORING,,60,20,EDF,MW-9B,MW-9B
L10008252269-MW-9B,1100,TDS,5/21/2007,MG/L,=,50,37.91535561,-121.2910801,MONITORING,,60,20,EDF,MW-9B,MW-9B
L10008252269-MW-9B,1300,TDS,2/10/2012,MG/L,=,100,37.91535561,-121.2910801,MONITORING,,60,20,EDF,MW-9B,MW-9B
L10008252269-MW-9B,1400,TDS,2/27/2014,MG/L,=,100,37.91535561,-121.2910801,MONITORING,,60,20,EDF,MW-9B,MW-9B
SLT5S2173256-TW-14,1120,TDS,6/12/2012,MG/L,=,10,37.7471001,-121.416367,MONITORING,,5.48,20,EDF,TW-14,TW-14
SLT5S2173256-TW-14,1810,TDS,12/4/2013,MG/L,=,10,37.7471001,-121.416367,MONITORING,,5.48,20,EDF,TW-14,TW-14
T10000000687-MW-11,1400,TDS,5/10/2016,MG/L,=,10,37.5651465,-121.2009339,MONITORING,,20,5,EDF,MW-11,MW-11
T10000000687-MW-11,2970,TDS,12/5/2012,MG/L,=,10,37.5651465,-121.2009339,MONITORING,,20,5,EDF,MW-11,MW-11
T10000000687-MW-11,2980,TDS,10/21/2016,MG/L,=,10,37.5651465,-121.2009339,MONITORING,,20,5,EDF,MW-11,MW-11
T10000000687-MW-11,3330,TDS,12/17/2013,MG/L,=,10,37.5651465,-121.2009339,MONITORING,,20,5,EDF,MW-11,MW-11
T10000000655-MW.08,2900,TDS,12/1/2009,MG/L,=,50,38.0151986,-121.824761,MONITORING,,7,5,EDF,MW.08,MW.08
